COMMENTS,"LANGUAGE (E, F, or N)",OFFENSIVE (Y or N),EMOTION,"Hard to annotate?
(Y or N) ","Name o link? 
(Y, L or N) ",
[NAME] Bakit hindi yung mga minero n sinisira ang kalikasan ang hulihin ninyo. Bakit d ninyo b sila kaya? Kasi kalimitan may kapit sa [NAME] o taga [NAME] rin.,F,N,Sadness,N,N,
Everything happens for a good reason may plano ci [NAME] kay kuya [NAME],E,N,Joy,N,N,
"Uso n yan kc malapit n undas!!😂😂😂kaway kaway taga pangasinan!!,,DEREMEN  sarap gataan!😋😋😋",F,N,Joy,N,Y,
Sira ulo na yta yan,F,N,Anger,N,N,
Buang kaman diay. Ayawg pasanginli ang lockdown tun[NAME] anang kabuang nemo,N,N,Anger,Y,N,
ANONG nangyari AYAW magplay,F,N,Sadness,N,N,
2:45 jusko nagulat ako HAHAHA,F,N,Joy,N,N,
"Naawa ako kay [NAME] 😖
In time , you will be healed [NAME] . Trust kay [NAME] and hingi ja ng guidance .
[NAME]bless you. 
You din’t deserve that guy .",E,N,Sadness,N,N,
Minsan everyday,F,N,Joy,N,N,
ang ganda ni ate...me awa ang [NAME] pray lang po tau maayos din po yan.mdami po ang mbabait ang puso..pray lang po mam,F,N,Joy,N,N,
Dto sa Med East..mahal yan ..Bukor tawag dto..pabango nila..ung frnd nmin na Kuwaiti pmupunta sa pinas..para bumili ng kahoy.. .,F,N,Joy,N,Y,
"Mas nakkawa kayo ate kase sa inyo, kayu pamilya kau.. may nattirahan kau pero cia tinuring niung polobi pero hnd nwwla sa kanya ang pagging matalino commonsense kc pag may time,",F,N,Sadness,N,N,
Dito sa [NAME] nila yan binibinta kasi yan ginagamit ng mga tao dito pampabango sa bahay bukor tawag nila..ginagamit din yan panggawa ng perfume,F,N,None,N,N,
Habang may buhay may Pag-asa. [NAME] bless you🙏🙏🙏,F,N,Joy,N,N,
Marami sa bukid namin yan,F,N,Joy,N,N,
abugbug berna hahahah,F,N,Joy,N,Y,
"Im from [NAME] and I used to study near  there...
That place is really polluted and dirty and there is a big tree so that explains why there are many snakes... 🙄 duh",E,N,Sadness,N,N,
ew kade naman yan lalake na yan ew,N,N,Disgust,Y,N,
sana maayos na mokha mo para hindi kana ma buli kahit ano pa ang mokha nang tao wag hosgahan,F,N,Sadness,N,N,
Okay mo mukha mo. Mrramdaman mo yan after ng ilang taon. Andami mong parasite makukuha jan. Baka bigla ka nlang ma-coma o madedo jan.,F,N,Anger,N,N,
That is so many,E,N,Joy,N,N,
niloloko mo kami! haha,F,N,Joy,N,N,
Pagkatapos mo pakinabangan iiwanan muna agad,F,N,Anger,N,N,
Dina maayos yan,F,N,Sadness,N,N,
Hala yung lalaking yon rapist daw yon nasa liwayway quezon na daw sya ako ay taga mauban at may napatay daw syang 16 y.o na babae suspect na daw sya 50k ang pera pag na huli na kakatakot,F,N,Anger,N,Y,
bayabas po pwede po yon yon din po yong kinawa namin kay ate ko noong ng kaganyan din siya pag natulog na si ate maglabas ng malinis na damit na kulay puti para hindi  magkainfection,F,N,Joy,N,N,
Mao  nang  dli  ta  ma  dato  kay  seloso,N,N,None,Y,N,
Ewwwww kaka  diri  ka  koya,F,N,Disgust,N,N,
Hmmmm nung bata aq mdmi aq nkkta gnyan puno.... secret maganda ata balikan ko yun ah,F,N,Joy,N,N,
ako lng ba nka pansin naging iba ung bag na hilahila ni lola,F,N,Fear,N,N,
"Masaya po ako na pwede pang mabago ang buhay niya excited ako sa changes na mangyayari sakanya aabangan ko talaga yan, fighting!!! 😍😍😘😘😊😊",F,N,Joy,N,N,
Ang lupit naman ni kuya,F,N,Surprise,N,N,
Wala  talagang kwenta  ang  mga lalaki  kaya  ako ayokong  magasawa  eh,F,N,Anger,N,N,
May paayuda na c boy tapang. Sobrang hirap din sa buhay binibigyan nya,F,N,Joy,N,Y,
I HATE SNAKEU🙅🐍,E,N,Fear,N,N,
Dapat yung lalaki yyng makulong ehh,F,N,Anger,N,N,
hinuhuli ang mga tao na kumukuha ng agarwood kasi [NAME] ang gustu makinabang,F,N,Anger,N,N,
"Hahaha! Tabachuy parang si herman goring, vandolph, baste, ryan yllana, sumo wrestler, etc!",F,N,Joy,N,Y,
Kwell lng pantapat nyan,F,N,Joy,N,N,
kawawa namn si Ate,F,N,Sadness,N,N,
Pakihuli nga Nyan parang timang hahahaha,F,N,Joy,N,N,
NXP LNĞ MALAKAS,F,N,Joy,N,N,
Pulitico goverment offecial lng ang nkikinabang ang mahihirap walang karapatan na umangat sa buhay....bullshit,F,Y,Anger,N,N,
Yan mga tao nadidiri,F,N,Disgust,N,N,
pinaka grabe kong ginawa nung nagmahal ako... NAGPAKATANGA AKO SAKNYA NG APAT NA TAON😂 TAS NI MINSAN HE NEVER NOTICED MY WORTH,F,N,Sadness,N,N,
ano bayan nakakadiri anong klaseng mukbang yan kumakain ng insekto,F,N,Disgust,N,N,
"Yung pinapanuod mo sya, pero sa comment yung mata mo hahaha wtf 🤣🤣🤣",F,N,Joy,N,N,
"Dame nyan sa arab country., pabango lang sa bahay.",F,N,Joy,N,Y,
Action agad [NAME]... Para sila lang makikinabang mga polpol,F,N,Anger,N,N,
"[NAME] is good all the time 
And all the time [NAME] is good 
[NAME] bless [NAME] and Teacher [NAME]",E,N,Joy,N,N,
Sana may update ulit kay Kuya [NAME] 😭🥰,F,N,Sadness,N,N,
meegeed! Hanggang pakikinig nalng kaya ko di ko kayang manuod HAHAHA healthy naman pala si kuya ee 😂,F,N,Joy,N,N,
Ginagawa kasi yang bakoor niLAlagyN yan ng perfume,F,N,Joy,N,N,
Yay  nakakadiri,F,N,Disgust,N,N,
Kailagan nating alamin kung ano ang tunay na pagmamahal at para maisagawa ng tama.,F,N,Sadness,N,N,
ayan nah.. susme! [NAME] jan kau magaling.. hindi kau nag kukusa mag explore ng mga kahoy na may value.. saka lang kayo kikilos pag may napabalita.. takte ninyo!! mga mukang pera din kayo.. tse!!,F,N,Anger,N,N,
May sugat den ako sa ulo,F,N,Sadness,N,N,
"Tigilan niyo Napo Sana Yan
Nakaka sama Napo Yan sa iyong
Kalisugan",F,N,Sadness,N,N,
Magtanim kayo wag putol ng putol,F,N,Anger,N,N,
Pls give the por,E,N,Sadness,N,N,
maganda sya kahit may kapansanan sya tiwala lang kay [NAME],F,N,Joy,N,N,
Ayaw ipagalaw ng [NAME] pero sila din mismo makikinabang dyan. Patago sila makikipag transaksyon sa mga buyer nyan.,F,N,Anger,N,N,
diko naiwasan di maiyak habang nanunuod 😇😇😇,F,N,Sadness,N,N,
Panghalo kasi sa paham yan,F,N,Joy,N,N,
Paano hindi namamatay,F,N,Sadness,N,N,
"Ito po ba yung Tinatawag na ""Saling"" sa ilocano?",F,N,Joy,N,Y,
Bakit lahàt ñg doctor sa [NAME] kill joy xD,F,N,Joy,N,N,
Maganda naman Sya,F,N,Joy,N,N,
Kaya mo yan Harry Roque,F,N,Joy,N,Y,
Magaling kc sa pandurugas ang [NAME] po ateh,F,N,Anger,N,N,
"wow..
grabeh ..
wala cyang takot...😱",F,N,Fear,N,N,
Tumayo balahibo ko,F,N,Disgust,N,N,
salazar slitherin,E,N,None,N,N,
Yan ung sunod na magdadala Ng pandemia sa [NAME]😠😠😠,F,N,Anger,N,N,
Another pandemic: Am I A Joke To You?,E,N,Anger,N,N,
"Nagulat ako haha
2:40",F,N,Joy,N,N,
[NAME] Bless sa vlogger,E,N,Joy,N,N,
Mrun dto samin Yan nlalaga lang Yong boto nyan tas kakainin.,F,N,Joy,N,N,
Baka yang hawak niang patalim nayan baka yan yung nasa antipolo masaker....LUSIPER😈,F,N,Anger,N,Y,
Dapat talaga yung lalaki na lang. nakakaasar...,F,N,Anger,N,N,
Nakakaiyak nakaka touch 😘,F,N,Sadness,N,N,
Kasalanan nun llki.. I feel bad s kababayan k pero ngmhal lng xia 😔 s babae nmn pgling k po 😔,F,N,Sadness,N,N,
juicekopo.... sumakit  ulo ko dito..,F,N,Sadness,N,N,
"wa oroy ka na covid pistiha ka ,kung unsa kamaot imung gipangkaon ingun ana pud kamaot imong nawung.",N,N,None,Y,N,
Ang bilis umangat Ang Buhay ni boytapang Kasi bigla nabura Account niya,F,N,Joy,N,Y,
Sarili mong lupa illegal pa rin? Lintek na batas yan.,F,N,Anger,N,N,
Di niya daw intensiyon eh ano yun?  Aksedenti?,F,,Anger,N,N,
Mga sirang nilalang,F,N,Anger,N,N,
Ayoko naaa! Naduwal ako shems,F,N,Disgust,N,N,
"Naku kuya alagaan nyo po kalusugan nyo
Kadiri",F,N,Disgust,N,N,
Grabeng nanay yan!,F,N,Anger,N,N,
Mas ok nayan kesa mag nakaw tandaan nyo guys may dahilan lahat ng mga maling ginagawa kung bkit sila laging gumagawa ng mga mali.,F,N,Sadness,N,N,
Hay nako ang govyerno talaga pag pera na lumalabas ang tunay na ugali  mga Gahaman sa pera,F,N,Anger,N,N,
"POTAENE nakakainis sumagot yung lalaki sabi nya ""dahil sa nangyari nayun mas lalo ko siya namahal"" edi ibig sabihin hindi mo siya pala mahal dati wtf?",F,Y,Anger,N,N,
"my gwad,  kasunod lungsod lang sa amin",F,N,Joy,N,N,
Hindi ko pa pinapanood pero kadiri amputa.,F,Y,Disgust,N,N,
Bakit sila d painakulong,F,N,Anger,N,N,
See here it’s very obvious that’s it’s been going on however nothings been done? CENRO what’s going on? One day you’ll here folks were eaten by these creatures.,E,N,Anger,N,N,
"Basta INVOLVE  ang PERA...para sa [NAME] LAHAT ENDANGERED na...pati sa SUKA NG BALYENA may Concern sila..PHUTA ang LupiiiittT...
#GAHAMAN",F,Y,Anger,N,N,
Now i get it why my mom always says (my name) kukutuhan kita tara para di na lumala.,F,N,Joy,N,N,
[NAME] bless [NAME] ❤️,E,N,Joy,N,N,
Fb friend man ni nko🥰,F,N,Joy,N,N,
"Kasalanan yan ng nanay iyan, hindi maalaga sa anak nya, dapat kinalbo nlng agad para iwas.",F,N,Anger,N,N,
Naawa ako sa bata at sa magulang niya🥺🥺🥺🥺🥺🥺,F,N,Sadness,N,N,
Yucks ka damak.,N,N,Disgust,N,N,
"wala kasing lagay kaya bawal
yung lagay kasi gabitay 😂",F,N,Joy,N,N,
Minsan every day,F,N,Joy,N,N,
Potang ina nyu gusto nyu kayu lanh makinabang mga kapal nang mukha nyu,F,Y,Anger,N,N,
Paborito kayan🤡😍,F,N,Joy,N,N,
Kung pwede nman ulit magtanim ano pang problema nyo grav mga crab mentality talaga mga ibang tao pag may nakitang umaangat gumagawa ng paraan para mahila pababa ano yan kalokohan,F,N,Anger,N,N,
Maniwala na aq na matapang ka kung kakain ka ng puno ng kahoy,F,N,Joy,N,N,
Yung Xander Ford nyo nga ginawan nyo ng paraan. Ito pa kaya. Come On! Pls help her get the confidence! Sana may mabuting puso jan maging donors pls pls,F,N,Sadness,N,Y,
sisihin nyo mga kurakot sa [NAME] hahaha,F,N,Joy,N,N,
Alam ko pong wala kang makain kaya exotic foods kinakain mo pero pwede namang kainin 'yan po ng LUTO 😣,F,N,Sadness,N,N,
mamamatay yan :(,F,N,Sadness,N,N,
Tma dpat sa  llaki mo ibinuhos,F,N,Anger,N,N,
NAG HAHANAP KA NG SAKIT NG KATAWAN MO! KADIRI,F,N,Disgust,N,N,
Lol lagyan nyo alcohol,F,N,Joy,N,N,
Bigay ng kalikasan pinipigilan ng mga taga [NAME]. Imbis yun na sana maka tulong sa mga pobreng tao.,F,N,Sadness,N,N,
Walang pinanganak na pangit .. ❤️,F,N,Joy,N,N,
napano yung kamay nyan,F,N,Sadness,N,N,
Nakakatakot naman ang ginawa ni tatay at dumugo pa ang kamay nya 😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣,F,N,Fear,N,N,
jfhdhchhhdhdh hfhc,N,N,None,N,L,
Ok lng kumain ng exotic foods pero ito sobra n .. karamihan puro madudumi p kinakain..,F,N,Disgust,N,N,
"Oh heck no, I scream every time I see one😂",E,N,Joy,N,N,
"Pati yung pag inom inom mo ng gaas, tubig na may surf powder? at maruming tubig? pati kanal hindi pinatawad, bakit hindi isinali? Hahaha",F,N,Joy,N,N,
nakakaawa na sa murang edad nakakaranas na siya magka-problema sa buhay.,F,N,Sadness,N,N,
Please help him na po!!! Kumakain na po sya pati vulcaseal!!!!! #[NAME]15,F,N,Sadness,N,N,
mayroon din sanang magpaamo ng baboy gaya mo [NAME]...ang daldal mo kasi at kontrabida sa pangulo...hahaha,F,N,Joy,N,N,
Bat puros engkanto nalang may kasalanan,F,N,Anger,N,N,
Kulong habang buhay,F,N,Anger,N,N,
Lalaki ba si [NAME]? O babae?,F,N,None,N,N,
Dont.call them Ahas call them Bessy,E,N,Anger,N,N,
Sana maging Teacher ko rin yung Teacher nila sa Private school,F,N,Sadness,N,N,
mahal yan binibili dto sa [NAME] kc mgahilig ang mga arabo ng ganyan,F,N,Joy,N,Y,
Sa may Baclaran yata to eeh. Sa may 3F🤔.,F,N,Joy,N,Y,
ibebenta nnmn yan ng [NAME],F,N,Anger,N,N,
"Bakit sa [NAME], kinakalbo na ang kagubatan dahil sa  chromite, hindi nakikialam ang mga autoridad, siguro nabayaran, ikaw din [NAME] bakit hindi mo puntahan para malaman mo?",F,N,Anger,N,N,
sa nanay narin nang bata yan parang pinabayaan,F,N,Anger,N,N,
Hindi na ako maaasawa,F,N,Fear,N,N,
Kahit ilang beses kng panuorin to talagang matitinag ang puso ko...,F,N,Sadness,N,N,
Illegal dahil alam ng goberno.. sila lang maka pera lok,F,N,Anger,N,N,
Yan ang gusto ng ating kababayan fat is healthy sabi nila.Kawawa nman.,F,N,Sadness,N,N,
Takot ako Jan sa mga kinakain nya,F,N,Fear,N,N,
"grabe naman yung bf ni glory! nakakaawa naman si glory, hindi na makakita,sana gumaling na siya, in[NAME] name, Amen.",F,N,Sadness,N,Y,
sa 3F trade center mart to diba? sa pasay ba to? sa two shopping?,F,N,Joy,N,Y,
[NAME]BLESSYOU sir 🤍,E,N,Joy,N,N,
Tatay ng apo ni nanay walang trabaho kaya si nanay mag provide.. Kapal naman ng mukha ng anak ni nanay.. Hindi na nahiya sa magulang nya..,F,N,Anger,N,N,
Kng cguro marami lng akong pera help kita,F,N,Sadness,N,N,
"Ang ganda niya 
Huwag mawalan ng pag asa",F,N,Joy,N,N,
Ganito yung mga kwentong [NAME] na gustung gusto ko.,F,N,Joy,N,N,
Naaamoy ko yung ulo dito sa screen,F,N,Disgust,N,N,
To [NAME] be the Glory! 💖,E,N,Joy,N,N,
nako pag nakulong yan lalagyan ng pumada lage yan,F,N,Anger,N,N,
"90% of comment is awa and plasticity. Ugali hinahanap nyo Pero Yung mga bingot, ngongo at iba pang may kapansanan kahit sobrang babait at loyal pagtitripan nyo?lol.",F,N,Anger,N,N,
"""nagmahal lang ako sa maling pagmamahal"" ☹️",F,N,Sadness,N,N,
May sira ulo ka kuya mga unclean foods yan may mental health ka  kuya yan ang mga generator animals sa mundo kaya pala may pandemic dahil sa mga taong  matitigas ang ulo at mga hugawan,F,N,Anger,N,N,
Yakkkk boy tapang,F,N,Disgust,N,N,
[NAME] bless kuya [NAME] ♥️♥️,E,N,Joy,N,N,
Ganyan din yun bata nuon na nasa Indonesia.... lage na cya nagsasocker kaya payat na,F,N,Sadness,N,Y,
This is a miracle 😀😊,E,N,Joy,N,N,
Eto dapat ang tinutulungan,F,N,Sadness,N,N,
bakit hnd ang [NAME] mag patanim at maramihin tpos [NAME] ang binta para my kita ang mga local,F,N,Sadness,N,N,
Lupet parang nasa [NAME] ka pre,F,N,Joy,N,N,
"Kailangan gayahin ang ginagawa sa Japan, may cooperative na may insurance pa sila. Kung masira man ng bagyo o sakuna ang kanilang pananim ay hindi sila malugi dahil insured ang kanilang pananim.",F,N,Sadness,N,Y,
Bullshit the Philippine [NAME]..they want to help poor people,E,Y,Anger,N,Y,
sana may mag sponsor...at tsaka...pag maayus na mukha nya may totoong magmahal di lang...mahalin na sya kasi naayus na mukha niya,F,N,Sadness,N,N,
We should respect the gays too.....we should love them.....they are not toy.....the gay in this video is such a good person,E,N,Sadness,N,N,
Tsaka palakihin nyu sahod para wala na mag abroad,F,N,Anger,N,N,
bless bless po [NAME] and [NAME] . good samaritan ka po,F,N,Joy,N,N,
[NAME] tulungan nio po cya maoperahan #[NAME] [NAME]kabait at buti nia po tayo at [NAME]kaganda din po nia. Deserve nia po gumanda lalo dhil [NAME]kaganda ng puso nia po.,F,N,Sadness,N,N,
Mas lalong mawawala yung puno na yan. Naku Mareng [NAME]. 🤦🏻‍♀️ Save the tree isipin nyo ilang years yan bago naging puno.,F,N,Anger,N,N,
Dapat mamigay ang [NAME] ng mga punla nian,F,N,Anger,N,N,
Yung ina yung pabaya dyan. Kainis. Di nmn mangyayare yan sa kambal kung di pabaya yung ina. Tssk,F,N,Anger,N,N,
"kasi naman tong mga lalaki ginagamit lng mga ""beke, tao rin yan nakakaramdam.",F,N,Anger,N,N,
"Pwede na rin cguro bansagang ""Snake Island"" ang [NAME]. Maraming ahas pala dyan....",F,N,Joy,N,Y,
Kaya Hindi umaasenso Ang [NAME],F,N,Sadness,N,N,
Like this! Kung gusto niyo makapag turo ulit si [NAME].😊❤️,F,N,Joy,N,N,
O. M. G.... D q kinaya.! C Kuya..  Grabeh..  Aatakihin aq nang epilipcy.. Hahahha..,F,N,Joy,N,N,
"Patay kayo dapt kasi dina kayo ng pa cover jan? . 
Sa [NAME].",F,N,Sadness,N,N,
papatayin ko yong babae no yun a,F,N,Anger,N,N,
Ngkakamot k dn b ng ulo habang pinapanuod to? 😂,F,N,Joy,N,N,
Nakkatakot nman yan,F,N,Fear,N,N,
My ever teacher... Reyah here... hope he’s getting well... kudos! to Safe Haven and to Sir [NAME]... hoping to do a collab soon... together with my teacher [NAME],E,N,Joy,N,Y,
"Nakakadiri grabe d ko kakayanin lalo na yung bulate nakaka suka nayun grabe,",F,N,Disgust,N,N,
Peace be with you,E,N,Joy,N,N,
Yuck talaga d q kinaya ...,F,N,Disgust,N,N,
Plot twist: the snake was a paid actor,E,N,None,N,N,
these serpents were already defang.,E,N,None,N,N,
"Plot twist
Deretso sa cr kasi masakit tiyan",F,N,None,N,N,
Kawawa Naman Sana gumaling na sila🙏🙏,F,N,Sadness,N,N,
Pag sya na surgery for sure # 1 trend na nman ang #[NAME] let's just hope na nabigyan sya chance to show her outside beauty,F,N,Joy,N,N,
Meron pa nyan paneke,F,N,None,N,N,
", ,yan ung gingamit n ensenso d2 sa [NAME] , ,kaloka sobrang mahal pla yan ,",F,N,Surprise,N,N,
D manlang kinutohan ng magulang.lipstick pa atupaga nay.,F,N,Anger,N,N,
[NAME] bless po ate [NAME],F,N,Joy,N,N,
Dapat ini isip talaga ni [NAME] lahat bago sha gumawa para wlang gulo!,F,N,Anger,N,N,
Bigyan natin mga ito mga daga 😂🤣,F,N,Joy,N,N,
imong mama matapang,N,N,None,Y,N,
Tong [NAME] dpat ginantihan Mo Ung Lalaki,F,N,Anger,N,N,
Ang bait nman ni teacher 😊 buti pa sya di nandiri sa ulo ng kambal 👍 walang gloves na gamit...,F,N,Joy,N,N,
Hay nako kung part siguro ako sa team tapos dito ako na assign baka mag resign ako agad agad bahala na hahahahaha,F,N,Joy,N,N,
May alaga pa syang pusa cute,F,N,Joy,N,N,
[NAME] bless pagaling po,F,N,Joy,N,N,
bwal iyan mga buhay kadiri,F,N,Disgust,N,N,
Kawawa nman sya,F,N,Sadness,N,N,
sana matulungan sya ng mga mabubuti puso excitednko mgng kalalabasan ng itsura nya🥺,F,N,Sadness,N,N,
You are very lucky [NAME] because [NAME] never leave you [NAME]lovesyou🙏🏻,E,N,Joy,N,N,
Baka siya yung susi sa covid baka yung dugo niya ang vaccine,F,N,Fear,N,N,
Jusmeyo pag kumati panga lang ulo ko suyod agad eh. Grabi naman yan dapat naagapan agad my shampoo naman pang tanggal ng kuto eh,F,N,Sadness,N,N,
Pabaya yun nanay nila. hindi na kayo naawa sa mga bata. hinayaan nio maging ganyan un ulo nila. mga kamag anak wala din concern . tsk. tsk. tsk.,F,N,Anger,N,N,
"pwede naman sigurong mag tanim at mag punla ng mga agarwoods, para mapadami pa ito tsaka hindi rin mapipigilan ang mga pilipinong mag benta at mag putol ng agarwoods dahil sa kahirapan....",F,N,Sadness,N,N,
How about plant more and wen u destroy one u plant 10,E,N,Anger,N,N,
Descendant of Salazar Slytherin 🐍,E,N,None,N,N,
Best episode ever,E,N,Joy,N,N,
[NAME] bless nakaka iyak ka pero wag Kang mawawala. Ng pag Asa cha,F,N,Sadness,N,N,
Isusurender ko ng bestie sa [NAME].🐍,F,N,Joy,N,N,
"cute mo bibi,, pero i wish maalgaan mdisiplina sa food ,, mhirap gutumin bata, sana mtygaan doble ng fam  nya,, [NAME]bless po sa fam u",F,N,Joy,N,N,
Kahit mahirap tayo ..huwag Naman po Sana ganyan humingi nalang Sana kayo ng tulong sa LGU😭,F,N,Sadness,N,N,
"Kaya nakakatakot magmahal, baka mapunta ka sa maling tao",F,N,Fear,N,N,
Kaero man [NAME]!😥 nagmahal lang talaga sya ng todo. Mali ginawa nya pero we are humans after all. Very sad for [NAME].😭,F,N,Sadness,N,N,
ano po pala  nangyare sa kamay ni kuya [NAME],F,N,Sadness,N,N,
And what is it about to do on a honey in the video?? Lol agar wood ang subject but may honey syrup clip??,E,N,Anger,N,N,
Rey Valera kahawig,F,N,Joy,N,Y,
Ano kain pa more baboy hahahaha😂🤣😂😂🤣😏😏😏,F,N,Joy,N,N,
[NAME]bless kuya [NAME],F,N,Joy,N,N,
Si [NAME] na ahas din kamakailan lang..,F,N,Fear,N,N,
Only in the ph! Bawal yumaman ang mahihirap.. dapat ang mayaman lang ang yumayaman,F,N,Anger,N,Y,
mentality nga naman ng pilipino! since alam niyo na pala [NAME] na endangered specie na ang agarwood baka naman pede magsagawa kayo ng tree planting. tsk tsk!!!,F,N,Anger,N,Y,
Grabe nasuka ako🤮🤮🤮,F,N,Disgust,N,N,
Yuck kadiri amp,F,Y,Disgust,N,N,
adik yata to  eh..yak..,F,N,Disgust,N,N,
Yuck mamatay ka nyan sa microbyo,F,N,Disgust,N,N,
He is truly a wisdom..[NAME] bless you [NAME] 🙏🏻,E,N,Joy,N,N,
Daghang Salamat [NAME] and Safehaven. [NAME] bless kuya [NAME]! 😊,F,N,Joy,N,N,
"Canibal sha ba?? 
Natatakot ko eh",F,N,Fear,N,N,
"Revenge won't solve anything..
Well, except for feelings
Bad taos = loves revenge",E,N,Sadness,N,N,
Nakakaawa namn Sana Hindi mangyari samin Yan kailangan Ng dead penalty yan,F,N,Sadness,N,N,
Parehas silang may mali,F,N,Sadness,N,N,
"maganda nman talaga sya, kahit ganyan mukha nya may magkakagus2 pa rin jan :)",F,N,Joy,N,N,
Kuto is life😨😱😅,F,N,Joy,N,N,
Napabayaan talaga  yan. Kami nga  sampu magkapatid   dalawang beses nagka kambal mama q aq may kambal lalaki  at bunso namin  kambal puro babae pero sa awa ng [NAME] hindi kami nakaranas ng ganyan...,F,N,Sadness,N,N,
Pray for [NAME],E,N,Sadness,N,N,
Eueuwieurywufeor,N,N,None,N,L,
2:40 napalundag ako😢,F,N,Surprise,N,N,
"Tulungan nyo mam [NAME],kasi kumikita naman kayo.wag nyo papaasahin ang bata.",F,N,Sadness,N,N,
Buwiset ka kumareng [NAME] hindi mo sinabing bigla na lang syang manunuklaw hahahaha,F,N,Joy,N,N,
Naka medal pag igsoon niya,F,N,None,N,N,
"magaling talaga si dok
gumawa ng sariling disease
name",F,N,Joy,N,N,
napaka basic lang idol...,F,N,Joy,N,N,
Kayabangan ng taong to,F,N,Anger,N,N,
Edkaluwag wala bayan,F,N,None,N,Y,
"The gay was very wrong, but he was just blinded and fooled by a false emotion towards that man. Bakit kasi ayaw nalang makontento? Mahirap ba yun?",E,N,Sadness,N,N,
grabeh grabeh😯😯😂,F,N,Surprise,N,Y,
Wow Grabe si boy tapang,F,N,Surprise,N,Y,
Kaya yan magamot,F,N,Sadness,N,N,
Sana MA operahn na sya,F,N,Sadness,N,N,
Sa [NAME] bookhor ang tawag jan,F,N,None,N,N,
Bat po genon ang isa nya mong daliri?,F,N,None,N,N,
Puro paganda yung nanay nakalimutan ang mga anak,F,N,Anger,N,N,
ang cute and ang bait ni arby! sana matulungan siya. saludo pa din ako sa pamilya nya dahil sobrang tutok sila kay arby kahit papaano.,F,N,Joy,N,Y,
Baka maging cause ka pa ng panibagong virus. Tsk.. marami naman jan pagkakakitaan para may makain. Hindi ganyan,F,N,Sadness,N,N,
Kawawa nmn cla masyado mdami kc mga corrupt mga walang awa sa mga tao,F,N,Sadness,N,N,
Hindi aq maarte pero nasusuka n aq dto s panonood nato,F,N,Disgust,N,N,
subukan mo naman paamohin si Bessy...,F,N,Joy,N,N,
Buti di nanunuklaw,F,N,Fear,N,N,
Ano b yan panget nmn yan pati sariling tanim s lupa mo huhulihin ka,F,N,Anger,N,N,
Baklang to nakakabweset,F,N,Anger,N,N,
Huhulihin nila tpos sila makikinabang na mga pulis lol kayo ingit lang kayo gsto nyo kayo yomaman,F,N,Anger,N,N,
"Gusto sana umasenyo ng mahihirap lalong naghirap pati matanda pambili saana ng gamot dinakip pa kawawa naman yong matanda  
Nakakatakot naman to 😔😔",F,N,Sadness,N,N,
"Guys, let's help [NAME]...at 3.5 m viewers kahit half of that mag ambag ng 5 pesos...she can have a new life and will have more confidence in herself. That alone is priceless!",E,N,Sadness,N,N,
Bakit ang lalaki ng ilong,F,N,None,N,N,
This girl is beutiful to me ❤,E,N,Joy,N,N,
Pero pag natuto kumain ang mga tao ng insekto baba ang kagutuman sa mundo,F,N,Joy,N,N,
baka jan na naman mag sisimula ang bagong virus..hahah,F,N,Joy,N,N,
"Mukhang mabait si [NAME], ganyan talaga ang buhay laban lang. Kaso mali ung aksyon nya na kaylangan nyang harapin.",F,N,Sadness,N,N,
"Grabi, iilan lang ang kahoy na yan  , grabi naman [NAME] na yan,",F,N,Sadness,N,N,
Salamat [NAME] soho,F,N,Joy,N,N,
"marami talaga ahas sa [NAME], sa antequera ibang ahas din meron sila kasi nanghahabol, nakakatakot. baka sira na ang bahay nila sa ilalim kay naglalabasan. 🙄🙄🙄",F,N,Fear,N,Y,
🤬 [NAME]. KINUKURAKOT NIO LANG YAN.,F,N,Anger,N,N,
Labas na yng mga bilyonaryo at mayyaman dyn..give her a chance please..🙏🙏💰💰💰 help her..,F,N,Sadness,,N,
Exoticacorona virus hahahahaha yan new virus pag Na kita mo si boy tapang layu Na kayu ok,F,N,None,N,N,
Wsg snaa tayng manghusga.maganda naman tlaga sya kung d lng ung left cheeks nya..sa mundo ang mga mata ng mga tao mapanghusga at ang bibig ay mapanglait,F,N,Sadness,N,N,
Sa mga nag block sa kaniya pag nakikita ying tunay na mukha .. who you kayo,F,N,Anger,N,N,
kung nakatanim sa lupain bkt po bawal. 🙄,F,N,Anger,N,N,
Dapat malaki. Huuuu nubayan! Joke 😅✌🏽,F,N,Joy,N,N,
Basura nanay neto hahaha mukang okay lang siya? Di niya man lang nabilhan ng gamot hahahaha mother of the year,F,N,Anger,N,N,
Ay naku pag eto nagmula ng bagong virus yari [NAME] .,F,N,Fear,N,N,
Pangatong lang to sa probinsya namin eh,F,N,Joy,N,N,
Besik Lang haha🤣,F,N,Joy,N,N,
BBQ na sawa hahahaha ay hindi pala BBQ cremated pala ahhahaha,F,N,Joy,N,N,
"Naawa naman ako sa gay nag mahal lang sya pero mali parin ginawa nya,haissst,iba talaga ang nagagawa ng pag ibig or pagseselos😢",F,N,Sadness,N,N,
"Ito ang paraan ng pagpapatubo ng buto ng lapnisan or agar tree
https://www.youtube.com/watch?v=emBWot7LM8w&feature=share",F,N,None,N,L,
